timestamp,algorithm,seed,evaluation_step,array_height,array_width,ifmap_kb,filter_kb,ofmap_kb,dataflow,bandwidth,total_cycles,cycles_mha,cycles_conv,total_stalls,avg_utilization,pe_area,sram_area,total_area,fom_score,step_gain_pct,best_so_far_gain_pct
2026-08-22T16:46:02.509666+00:00,Random Search,1,32,4,12,32,16,128,is,24,34525,10793,23732,0,66.69,48.0,140.8,188.8,153.414,-35.57,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,33,48,4,32,16,8,ws,12,15850,6036,9814,2514,33.94,192.0,44.8,236.8,266.434,11.9,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,34,12,12,64,32,64,os,32,10132,3366,6766,0,67.97,144.0,128.0,272.0,362.857,52.4,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,35,24,24,128,64,32,ws,16,6827,2260,4567,0,41.32,576.0,179.2,755.2,193.958,-18.54,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,36,32,16,64,128,128,is,12,10755,2159,8596,0,35.65,512.0,256.0,768.0,121.068,-49.15,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,37,48,12,32,128,64,os,24,10590,1889,8701,6010,22.91,576.0,179.2,755.2,125.038,-47.48,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,38,12,16,64,16,32,os,16,8364,2702,5662,0,73.98,192.0,89.6,281.6,424.574,78.32,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,39,16,32,8,32,256,os,32,3130,1134,1996,0,67.04,512.0,236.8,748.8,426.668,79.2,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,40,12,16,32,16,64,ws,24,9650,3662,5988,0,67.47,192.0,89.6,281.6,367.993,54.55,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,41,12,12,32,16,8,ws,24,11063,3889,7174,0,61.77,144.0,44.8,188.8,478.768,101.08,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,42,32,4,64,64,32,os,12,13240,3818,9422,0,69.07,128.0,128.0,256.0,295.034,23.91,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,43,16,4,32,8,32,ws,24,21114,7124,13990,130,72.7,64.0,57.6,121.6,389.49,63.58,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,44,4,8,128,16,32,is,32,41229,10623,30606,0,75.81,32.0,140.8,172.8,140.363,-41.05,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,45,24,16,8,16,8,ws,8,8697,2536,6161,2730,39.2,384.0,25.6,409.6,280.718,17.9,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,46,48,12,128,32,64,is,32,8532,2486,6046,0,22.76,576.0,179.2,755.2,155.198,-34.82,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,47,8,4,32,16,8,os,4,153263,11518,141745,115346,50.79,32.0,44.8,76.8,84.957,-64.32,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,48,8,64,64,32,16,os,12,7716,1754,5962,0,40.73,512.0,89.6,601.6,215.427,-9.52,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,49,16,4,256,16,64,os,12,19704,5930,13774,0,83.48,64.0,268.8,332.8,152.497,-35.95,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,50,8,12,8,256,16,os,24,13451,4297,9154,0,74.21,96.0,224.0,320.0,232.325,-2.43,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,51,16,24,8,8,16,ws,24,5920,1927,3993,0,48.37,384.0,25.6,409.6,412.4,73.21,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,52,32,24,8,128,64,os,8,8466,1794,6672,3254,32.39,768.0,160.0,928.0,127.284,-46.54,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,53,24,16,32,128,32,os,4,33920,3398,30522,23092,31.33,384.0,153.6,537.6,54.838,-76.97,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,54,32,24,64,256,8,ws,16,5342,1443,3899,0,37.77,768.0,262.4,1030.4,181.673,-23.7,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,55,8,64,256,64,8,is,16,10775,2520,8255,1137,24.65,512.0,262.4,774.4,119.844,-49.67,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,56,16,8,32,128,64,ws,12,16416,4970,11446,2156,61.15,128.0,179.2,307.2,198.295,-16.72,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,57,12,64,256,8,32,os,4,103366,3002,100364,91414,21.1,768.0,236.8,1004.8,9.628,-95.96,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,58,64,8,32,32,32,ws,24,7061,1924,5137,544,32.88,512.0,76.8,588.8,240.528,1.02,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,59,32,24,8,16,8,os,12,5583,1432,4151,1554,36.37,768.0,25.6,793.6,225.7,-5.21,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,60,32,24,32,128,32,is,8,9156,2498,6658,0,31.19,768.0,153.6,921.6,118.509,-50.23,112.01
2026-08-22T16:46:02.509666+00:00,Random Search,1,61,24,8,8,64,16,os,32,6972,2510,4462,0,71.66,192.0,70.4,262.4,546.612,129.57,129.57
