timestamp_utc,dimension,category,entity,metric_key,metric_name,raw_value,unit,query_string,source_url,source_citation,notes
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Hardware HDL,Verilog,github_active_recent_repositories,Repositories Updated in 2025-2026,78004,repositories,"language:""Verilog"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Verilog%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Hardware HDL,Chisel,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,0.1,GB,The Stack v2 language=Chisel,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",0.0085M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Hardware HDL,Chisel,github_total_repositories,Total Public Repositories on GitHub,1681,repositories,"language:""Chisel""",https://api.github.com/search/repositories?q=language%3A%22Chisel%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Hardware HDL,Chisel,github_stars_ge_10_repositories,Repositories with Stars >= 10,116,repositories,"language:""Chisel"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22Chisel%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Hardware HDL,Chisel,github_active_recent_repositories,Repositories Updated in 2025-2026,333,repositories,"language:""Chisel"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Chisel%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Code Volume & File Scale,Hardware HDL,Bluespec,the_stack_v2_dedup_gb,Deduplicated Code Volume in The Stack v2,0.06,GB,The Stack v2 language=Bluespec,https://huggingface.co/datasets/bigcode/the-stack-v2,"The Stack v2: 600+ Languages (Lozhkov et al., 2024)",0.011M deduplicated source files
2026-08-22T16:08:23Z,Repository Scale,Hardware HDL,Bluespec,github_total_repositories,Total Public Repositories on GitHub,638,repositories,"language:""Bluespec""",https://api.github.com/search/repositories?q=language%3A%22Bluespec%22,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Community Traction (Stars >= 10),Hardware HDL,Bluespec,github_stars_ge_10_repositories,Repositories with Stars >= 10,48,repositories,"language:""Bluespec"" stars:>=10",https://api.github.com/search/repositories?q=language%3A%22Bluespec%22+stars%3A%3E%3D10,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Active Maintenance (2025-2026),Hardware HDL,Bluespec,github_active_recent_repositories,Repositories Updated in 2025-2026,219,repositories,"language:""Bluespec"" pushed:>=2025-01-01",https://api.github.com/search/repositories?q=language%3A%22Bluespec%22+pushed%3A%3E%3D2025-01-01,GitHub REST Search API v3 (Live Query),Queried at 2026-08-22T16:08:23Z
2026-08-22T16:08:23Z,Package Registry Scale,Software (Rust),crates.io,total_packages,Published Reusable Packages,320820,packages,GET https://crates.io/api/v1/summary,https://crates.io/api/v1/summary,Crates.io Official API,"409,376,104,281 total crate downloads"
2026-08-22T16:08:23Z,Package Registry Scale,Software (Python),PyPI,total_packages,Published Reusable Packages,560000,packages,https://pypi.org/stats/,https://pypi.org/stats/,PyPI Official Statistics,560k+ active packages indexed on PyPI
2026-08-22T16:08:23Z,Package Registry Scale,Hardware HDL,FuseSoC (fusesoc-cores),total_packages,Published Reusable Hardware IP Cores,148,ip_cores,https://github.com/fusesoc/fusesoc-cores,https://github.com/fusesoc/fusesoc-cores,FuseSoC Standard Core Library,Standard open-source digital hardware IP package registry
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,1. Public HDL Repositories,funnel_count,1. Public HDL Repositories,189000,repos,Funnel Stage: 1. Public HDL Repositories (100.0%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,OpenRTLSet (Wang et al. 2025),81k Verilog + 5k VHDL + 103k C/C++ HLS repos mined from GitHub
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,2. AST Syntax Parsable,funnel_count,2. AST Syntax Parsable,136836,repos,Funnel Stage: 2. AST Syntax Parsable (72.4%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,VerilogEval (Liu et al. 2023),AST syntax parsing without lexical errors
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,3. Open EDA Elaboratable,funnel_count,3. Open EDA Elaboratable,72009,repos,Funnel Stage: 3. Open EDA Elaboratable (38.1%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,RTLLM (Lu et al. 2024),Clean elaboration in Icarus Verilog / Verilator without missing proprietary headers/macros
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,4. Synthesizable Pattern Screen,funnel_count,4. Synthesizable Pattern Screen,12000,repos,Funnel Stage: 4. Synthesizable Pattern Screen (6.35%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,OpenRTLSet (Wang et al. 2025),Filtered for synthesizable RTL constructs and modules
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,5. Permissive & Verilator Lint Clean,funnel_count,5. Permissive & Verilator Lint Clean,2174,repos,Funnel Stage: 5. Permissive & Verilator Lint Clean (1.15%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,theepicflyer/openrtlset-permissive-verified (2025),"13,625 modules from 2,174 repos passing Verilator --lint-only -Wall warnings fatal"
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,6. Commercial HLS / Logic Synthesis,funnel_count,6. Commercial HLS / Logic Synthesis,1000,repos,Funnel Stage: 6. Commercial HLS / Logic Synthesis (0.53%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,OpenRTLSet (Wang et al. 2025),Clean synthesis in Xilinx Vitis HLS / Synopsys DC
2026-08-22T16:08:23Z,Synthesizability & Signoff Funnel,Hardware EDA Signoff,7. DRC/LVS Clean Tapeout Signoff,funnel_count,7. DRC/LVS Clean Tapeout Signoff,160,repos,Funnel Stage: 7. DRC/LVS Clean Tapeout Signoff (0.085%),https://huggingface.co/datasets/theepicflyer/openrtlset-permissive-verified,Efabless Open MPW / HighTide (2025),DRC/LVS and timing clean in OpenROAD for Sky130/GF180MCU tapeout
